kraken_taxid	species_name	assembly_accession	ncbi_taxid
135618	SLHW01 sp007135955	GCA_007135955.1	2026720
135619	SLHW01 sp024635455	GCA_024635455.1	2026720
135620	SZUA-359 sp003246575	GCA_003246575.1	2026720
135621	SZUA-359 sp030429935	GCA_030429935.1	1869227
135622	SZUA-359 sp035494435	GCA_035494435.1	2052139
135623	SZUA-359 sp039809125	GCA_039809125.1	2830836
135624	CALLJT01 sp938050265	GCA_938050265.1	2890869
135625	GCA-016700315 sp016700315	GCA_016700315.1	2026720
135626	JAGONL01 sp017993025	GCA_017993025.1	2026720
135631	JALYRK01 sp030854905	GCA_030854905.1	1869227
135632	JALYRK01 sp030855355	GCA_030855355.1	1869227
135633	JAUHWW01 sp030427125	GCA_030427125.1	1869227
135634	JAUHWW01 sp030427365	GCA_030427365.1	1869227
135635	JAUIBF01 sp030428125	GCA_030428125.1	1869227
135636	JAUIBQ01 sp030427445	GCA_030427445.1	1869227
135637	JAUIKH01 sp030430915	GCA_030430915.1	1869227
135638	JBBQVE01 sp038211855	GCA_038211855.1	2973664
135639	RFTN01 sp009923445	GCA_009923445.1	1869227
135640	RFTN01 sp037138655	GCA_037138655.1	1869227
135641	RFTN01 sp943354655	GCA_943354655.1	1983405
135642	SZUA-47 sp003231925	GCA_003231925.1	2026720
135643	Saccharimonas aalborgensis	GCF_000392435.1	1332188
135644	Saccharimonas sp002299795	GCA_002299795.1	1953376
135645	Saccharimonas sp002336735	GCA_002336735.1	1953322
135646	Saccharimonas sp002336935	GCA_002336935.1	1953321
135647	Saccharimonas sp002337095	GCA_002337095.1	1953320
135648	Saccharimonas sp002421785	GCA_002421785.1	1953365
135649	Saccharimonas sp002441145	GCA_002441145.1	1953367
135650	Saccharimonas sp010202265	GCA_010202265.1	2572087
135651	Saccharimonas sp013333625	GCA_013333625.2	2026720
135652	Saccharimonas sp013333645	GCA_013333645.2	2026720
135653	Saccharimonas sp013333675	GCA_013333675.2	2026720
135654	Saccharimonas sp013333795	GCA_013333795.2	2026720
135655	Saccharimonas sp013333845	GCA_013333845.2	2026720
135656	Saccharimonas sp015257605	GCA_015257605.1	2725945
135657	Saccharimonas sp015257665	GCA_015257665.1	2725945
135658	Saccharimonas sp016700015	GCA_016700015.1	2026720
135659	Saccharimonas sp018127705	GCA_018127705.1	713051
135660	Saccharimonas sp020160975	GCA_020160975.1	2052139
135661	Saccharimonas sp021781475	GCA_021781475.1	1869227
135662	Saccharimonas sp027492465	GCA_027492465.1	2026720
135663	Saccharimonas sp030528025	GCA_030528025.1	2026720
135664	Saccharimonas sp032229905	GCA_032229905.1	1917697
135665	Saccharimonas sp035478455	GCA_035478455.1	2052139
135666	Saccharimonas sp035479175	GCA_035479175.1	2973664
135667	Saccharimonas sp038205065	GCA_038205065.1	2973664
135668	Saccharimonas sp039809225	GCA_039809225.1	1917697
135669	Saccharimonas sp039936495	GCA_039936495.1	1917697
135670	Saccharimonas sp905365145	GCA_905365145.1	2026720
135671	Saccharimonas sp905371595	GCA_905371595.1	2026720
135673	Saccharimonas sp905372095	GCA_905372095.1	2026720
135674	Saccharimonas sp905372275	GCA_905372275.1	2026720
135675	Saccharimonas sp905372855	GCA_905372855.1	2026720
135676	Saccharimonas sp905373345	GCA_905373345.1	2026720
135677	Saccharimonas sp905373835	GCA_905373835.1	2026720
135678	Saccharimonas sp927910745	GCA_927910745.1	179883
135679	Saccharimonas sp937898545	GCA_937898545.1	179883
135680	Saccharimonas sp937902525	GCA_937902525.1	179883
135681	Saccharimonas sp937959535	GCA_937959535.1	179883
135682	Saccharimonas sp937974295	GCA_937974295.1	179883
135683	Saccharimonas sp937975975	GCA_937975975.1	179883
135684	Saccharimonas sp937981355	GCA_937981355.1	179883
135685	Saccharimonas sp937990725	GCA_937990725.1	179883
135686	Saccharimonas sp938017675	GCA_938017675.1	179883
135687	Saccharimonas sp938018005	GCA_938018005.1	179883
135688	Saccharimonas sp938030095	GCA_938030095.1	179883
135689	Saccharimonas sp938036625	GCA_938036625.1	179883
135690	Saccharimonas sp938036785	GCA_938036785.1	179883
135691	Saccharimonas sp938036825	GCA_938036825.1	179883
135692	Saccharimonas sp938036845	GCA_938036845.1	179883
135693	Saccharimonas sp938036915	GCA_938036915.1	179883
135694	Saccharimonas sp938039975	GCA_938039975.1	179883
135695	Saccharimonas sp938041435	GCA_938041435.1	179883
135696	Saccharimonas sp938041555	GCA_938041555.1	179883
135697	Saccharimonas sp938042065	GCA_938042065.1	179883
135698	Saccharimonas sp938045235	GCA_938045235.1	179883
135699	Saccharimonas sp938045445	GCA_938045445.1	179883
135700	Saccharimonas sp938046115	GCA_938046115.1	179883
135701	Saccharimonas sp938049075	GCA_938049075.1	179883
135702	Saccharimonas sp943914775	GCA_943914775.1	179883
135703	Saccharimonas sp945873065	GCA_945873065.1	179883
135704	Saccharimonas sp946222005	GCA_946222005.1	179883
135705	Saccharimonas sp963456275	GCA_963456275.1	179883
135706	Saccharimonas sp963456685	GCA_963456685.1	179883
135707	Saccharimonas sp963514895	GCA_963514895.1	179883
135708	Saccharimonas sp963519005	GCA_963519005.1	179883
135709	Saccharimonas sp963519435	GCA_963519435.1	179883
135710	Saccharimonas sp963519835	GCA_963519835.1	179883
135711	Saccharimonas sp963522835	GCA_963522835.1	179883
135712	Saccharimonas sp963522905	GCA_963522905.1	179883
135713	Saccharimonas sp963524295	GCA_963524295.1	179883
135714	Saccharimonas sp963525085	GCA_963525085.1	179883
135715	Saccharimonas sp963525145	GCA_963525145.1	179883
135716	Saccharimonas sp963526965	GCA_963526965.1	179883
135717	Saccharimonas sp963528475	GCA_963528475.1	179883
135718	Saccharimonas sp963528515	GCA_963528515.1	179883
135719	Saccharimonas sp963528575	GCA_963528575.1	179883
135720	Saccharimonas sp963528915	GCA_963528915.1	179883
135721	Saccharimonas sp963529005	GCA_963529005.1	179883
135722	Saccharimonas sp963529335	GCA_963529335.1	179883
135723	Saccharimonas sp963530345	GCA_963530345.1	179883
135724	Saccharimonas sp963530635	GCA_963530635.1	179883
135725	Saccharimonas sp963531145	GCA_963531145.1	179883
135726	Saccharimonas sp963532885	GCA_963532885.1	179883
135727	Saccharimonas sp963535445	GCA_963535445.1	179883
135728	Saccharimonas sp963538815	GCA_963538815.1	179883
135729	Saccharimonas sp963539155	GCA_963539155.1	179883
135730	Saccharimonas sp963541395	GCA_963541395.1	179883
135731	Saccharimonas sp963542675	GCA_963542675.1	179883
135732	Saccharimonas sp963545865	GCA_963545865.1	179883
135733	Saccharimonas sp963548065	GCA_963548065.1	179883
135734	Saccharimonas sp963549275	GCA_963549275.1	179883
135735	Saccharimonas sp963550135	GCA_963550135.1	179883
135736	Saccharimonas sp963551735	GCA_963551735.1	179883
135737	Saccharimonas sp963554165	GCA_963554165.1	179883
135738	CAMEGH01 sp945916045	GCA_945916045.1	179883
135739	Mycosynbacter amalyticus	GCF_025273655.1	2665156
135740	Mycosynbacter sp001003725	GCA_001003725.1	1619071
135741	Mycosynbacter sp015999875	GCA_015999875.1	2026720
135742	Mycosynbacter sp027492635	GCA_027492635.1	2026720
135743	Mycosynbacter sp937902295	GCA_937902295.1	179883
135744	SDRW01 sp007845485	GCA_007845485.1	671231
135745	SDRW01 sp013333595	GCA_013333595.2	2026720
135746	SDRW01 sp030528355	GCA_030528355.1	2026720
135747	SDRW01 sp916438855	GCA_916438855.1	179883
135748	JACKGP01 sp020631935	GCA_020631935.1	2052152
135749	JAGQNA01 sp020428315	GCA_020428315.1	2026720
135750	JASLCR01 sp030145955	GCA_030145955.1	2973664
135751	JASLCR01 sp036405235	GCA_036405235.1	2973664
135752	JASLCR01 sp036405515	GCA_036405515.1	2973664
135753	UBA1020 sp000503915	GCA_000503915.1	1394711
135754	UBA1020 sp002316545	GCA_002316545.1	1953313
135755	UBA1020 sp002335175	GCA_002335175.1	1953323
135756	UBA1020 sp002348605	GCA_002348605.1	1953333
135757	UBA1020 sp002348615	GCA_002348615.1	1953332
135758	UBA1020 sp002434005	GCA_002434005.1	1953372
135759	UBA1020 sp002455275	GCA_002455275.1	1953375
135760	UBA1020 sp012270305	GCA_012270305.1	2026720
135761	UBA1020 sp018060465	GCA_018060465.1	2026720
135762	UBA1020 sp023257815	GCA_023257815.1	2890869
135763	UBA1020 sp023259925	GCA_023259925.1	2890869
135764	UBA1020 sp030427525	GCA_030427525.1	1869227
135765	UBA1020 sp030431855	GCA_030431855.1	1869227
135766	UBA1020 sp030917245	GCA_030917245.1	2052139
135767	UBA1020 sp040384745	GCA_040384745.1	2052139
135768	2-01-FULL-49-22 sp035480715	GCA_035480715.1	2973664
135769	2-01-FULL-49-22 sp035650795	GCA_035650795.1	2973664
135770	2-01-FULL-49-22 sp036279215	GCA_036279215.1	2973664
135771	2-01-FULL-49-22 sp036507655	GCA_036507655.1	2973664
135772	2-01-FULL-49-22 sp040879175	GCA_040879175.1	2973664
135773	21-14-0-10-47-8-A sp002793885	GCA_002793885.1	1974869
135774	21-14-0-10-47-8-A sp016234585	GCA_016234585.1	2026720
135775	DASTHV01 sp035718045	GCA_035718045.1	2973664
135776	DASTXL01 sp035758565	GCA_035758565.1	2973664
135777	JACDFN01 sp013815775	GCA_013815775.1	2026720
135778	JACPKF01 sp016187125	GCA_016187125.1	2026720
135779	JAIFWC01 sp019662065	GCA_019662065.1	2026720
135780	JAIFWC01 sp025450575	GCA_025450575.1	2973664
135781	JAIFWC01 sp025934715	GCA_025934715.1	2026720
135782	JAIFWC01 sp035479215	GCA_035479215.1	2803731
135783	JAIFWC01 sp035694865	GCA_035694865.1	2973664
135784	JAIFWC01 sp038245195	GCA_038245195.1	2973664
135786	JALHRM01 sp022841445	GCA_022841445.1	2026720
135787	JBBDZU01 sp040900055	GCA_040900055.1	2973664
135788	JBBDZV01 sp040900005	GCA_040900005.1	2973664
135789	MGCX01 sp001788565	GCA_001788565.1	1802145
135791	RYN-425 sp035542755	GCA_035542755.1	2838779
135793	UBA10212 sp001790525	GCA_001790525.1	1802142
135794	UBA10212 sp001790575	GCA_001790575.1	1802143
135795	UBA6824 sp002452155	GCA_002452155.1	1953377
135796	UBA6824 sp016176605	GCA_016176605.1	2026720
135797	UBA6824 sp016187175	GCA_016187175.1	2026720
135798	UBA6824 sp035283865	GCA_035283865.1	2973664
135799	UBA6824 sp038062805	GCA_038062805.1	2052139
135800	DAIDJW01 sp027450165	GCA_027450165.1	2026720
135801	DAIDJW01 sp027451185	GCA_027451185.1	2026720
135803	Microsaccharimonas sossegonensis	GCA_004100325.1	2506948
135804	Microsaccharimonas sp001897295	GCA_001897295.1	1895829
135805	Microsaccharimonas sp001897305	GCA_001897305.1	1895828
135806	Microsaccharimonas sp002381485	GCA_002381485.1	1953341
135807	Microsaccharimonas sp002422915	GCA_002422915.1	1953363
135808	Microsaccharimonas sp002429245	GCA_002429245.1	1953362
135809	Microsaccharimonas sp002726935	GCA_002726935.1	2026720
135810	Microsaccharimonas sp003545655	GCA_003545655.1	2026720
135811	Microsaccharimonas sp009992235	GCA_009992235.1	2026720
135812	Microsaccharimonas sp023432445	GCA_023432445.1	2762014
135813	Microsaccharimonas sp025349965	GCA_025349965.1	2980174
135814	Microsaccharimonas sp027311865	GCA_027311865.1	2026720
135815	Microsaccharimonas sp028286395	GCA_028286395.1	2026720
135816	Microsaccharimonas sp028288995	GCA_028288995.1	2026720
135817	Microsaccharimonas sp028289065	GCA_028289065.1	2026720
135818	Microsaccharimonas sp030428585	GCA_030428585.1	1869227
135819	Microsaccharimonas sp035564035	GCA_035564035.1	3069224
135820	Microsaccharimonas sp036569465	GCA_036569465.1	3069365
135821	Microsaccharimonas sp039920285	GCA_039920285.1	2973664
135822	Microsaccharimonas sp040386175	GCA_040386175.1	2052139
135823	Microsaccharimonas sp913775275	GCA_913775275.1	2052139
135826	Microsaccharimonas sp948288625	GCA_948288625.1	179883
135827	Microsaccharimonas sp963517285	GCA_963517285.1	179883
135828	UBA1547 sp001873625	GCA_001873625.1	1805375
135829	UBA1547 sp002413425	GCA_002413425.1	1953354
135830	UBA1547 sp002427805	GCA_002427805.1	1953361
135831	UBA1547 sp002429375	GCA_002429375.1	1947813
135832	UBA1547 sp002839415	GCA_002839415.1	2013831
135833	UBA1547 sp004322265	GCA_004322265.1	2052139
135834	UBA1547 sp013334475	GCA_013334475.1	2026720
135835	UBA1547 sp014379635	GCA_014379635.1	2026720
135836	UBA1547 sp015655045	GCA_015655045.1	2026720
135837	UBA1547 sp021778755	GCA_021778755.1	1869227
135838	UBA1547 sp021779755	GCA_021779755.1	1869227
135839	UBA1547 sp021780305	GCA_021780305.1	1869227
135840	UBA1547 sp021847685	GCA_021847685.1	1869227
135841	UBA1547 sp022736555	GCA_022736555.1	1917697
135842	UBA1547 sp026395405	GCA_026395405.1	2026720
135843	UBA1547 sp027451105	GCA_027451105.1	1869227
135844	UBA1547 sp028286365	GCA_028286365.1	2026720
135845	UBA1547 sp029565375	GCA_029565375.1	1869227
135846	UBA1547 sp030156575	GCA_030156575.1	2052139
135847	UBA1547 sp034677945	GCA_034677945.1	2973664
135848	UBA1547 sp035399865	GCA_035399865.1	2026720
135849	UBA1547 sp035443865	GCA_035443865.1	2026720
135850	UBA1547 sp036758105	GCA_036758105.1	2026720
135851	UBA1547 sp036820845	GCA_036820845.1	2026720
135852	UBA1547 sp037129535	GCA_037129535.1	2026720
135853	UBA1547 sp037135295	GCA_037135295.1	2026720
135854	UBA1547 sp037138815	GCA_037138815.1	2026720
135855	UBA1547 sp037140095	GCA_037140095.1	2026720
135856	UBA1547 sp037141755	GCA_037141755.1	2026720
135857	UBA1547 sp038213035	GCA_038213035.1	2973664
135858	UBA1547 sp038244885	GCA_038244885.1	2973664
135859	UBA1547 sp038248455	GCA_038248455.1	2973664
135860	UBA1547 sp903832635	GCA_903832635.1	77133
135861	UBA1547 sp903844835	GCA_903844835.1	77133
135862	UBA1547 sp903861015	GCA_903861015.1	77133
135863	UBA1547 sp903866605	GCA_903866605.1	77133
135864	UBA1547 sp903889015	GCA_903889015.1	77133
135865	UBA1547 sp903899655	GCA_903899655.1	77133
135866	UBA1547 sp903900345	GCA_903900345.1	77133
135867	UBA1547 sp903952435	GCA_903952435.1	77133
135868	UBA1547 sp937863415	GCA_937863415.1	77133
135869	UBA1547 sp937872185	GCA_937872185.1	77133
135870	UBA1547 sp947084875	GCA_947084875.1	77133
135871	UBA2112 sp002331045	GCA_002331045.1	1953324
135872	UBA2112 sp020428185	GCA_020428185.1	2026720
135873	UBA2112 sp020428265	GCA_020428265.1	2026720
135874	UBA2112 sp023260255	GCA_023260255.1	2890869
135875	UBA2112 sp023262335	GCA_023262335.1	2890869
135876	UBA2112 sp023898645	GCA_023898645.1	2052152
135877	UBA2112 sp028289185	GCA_028289185.1	2026720
135878	UBA2112 sp030429445	GCA_030429445.1	1869227
135879	UBA2112 sp030429975	GCA_030429975.1	1869227
135880	UBA2112 sp030916565	GCA_030916565.1	2052139
135881	UBA2112 sp946804195	GCA_946804195.1	179883
135882	BOG-1338 sp003164595	GCA_003164595.1	2026720
135883	CAILQE01 sp036745415	GCA_036745415.1	2026720
135884	CAILQE01 sp903836325	GCA_903836325.1	179883
135885	CAIYEO01 sp037139575	GCA_037139575.1	1869227
135886	CAIYEO01 sp903839515	GCA_903839515.1	179883
135887	CAIYEO01 sp903840315	GCA_903840315.1	179883
135888	CAIYEO01 sp903891235	GCA_903891235.1	179883
135889	CAIYEO01 sp903900685	GCA_903900685.1	179883
135890	CAJCIR01 sp903970425	GCA_903970425.1	2081524
135891	CALBGR01 sp029288365	GCA_029288365.1	2026720
135892	CALBGR01 sp937892705	GCA_937892705.1	179883
135893	CAMLQK01 sp035247965	GCA_035247965.1	2973664
135894	CAMLQK01 sp035478775	GCA_035478775.1	2973664
135895	CAMLQK01 sp035690865	GCA_035690865.1	2973664
135898	DAHUYJ01 sp027315225	GCA_027315225.1	2026720
135899	DAHWAT01 sp027327085	GCA_027327085.1	2026720
135900	DAIDIO01 sp027459325	GCA_027459325.1	2026720
135901	DAIDIO01 sp035702905	GCA_035702905.1	2973664
135902	DAIESS01 sp027346135	GCA_027346135.1	2026720
135903	DAIESS01 sp039930145	GCA_039930145.1	2973664
135904	DAIQON01 sp036787835	GCA_036787835.1	2026720
135905	DASRLG01 sp035648575	GCA_035648575.1	2052315
135906	DASSKV01 sp035690125	GCA_035690125.1	2973664
135907	DASTAD01 sp035713075	GCA_035713075.1	2973664
135908	DASTAH01 sp035712845	GCA_035712845.1	2973664
135909	DASUOD01 sp036276795	GCA_036276795.1	2973664
135910	DASVGU01 sp036379375	GCA_036379375.1	2973664
135911	DASYZQ01 sp035946175	GCA_035946175.1	2973664
135914	DASZPJ01 sp035550295	GCA_035550295.1	2973664
135915	DASZYT01 sp035545275	GCA_035545275.1	2973664
135916	DATASD01 sp035276765	GCA_035276765.1	2973664
135917	DATASD01 sp035478835	GCA_035478835.1	2973664
135918	DATASD01 sp036263915	GCA_036263915.1	2973664
135919	DATBED01 sp035480695	GCA_035480695.1	2890869
135920	DATBED01 sp036276195	GCA_036276195.1	2973664
135921	DATCFR01 sp036509405	GCA_036509405.1	2973664
135922	DATCRQ01 sp036568905	GCA_036568905.1	2973664
135923	DATHNF01 sp035486285	GCA_035486285.1	2499141
135924	DATHNF01 sp036743655	GCA_036743655.1	2026720
135925	DATIIY01 sp035479135	GCA_035479135.1	2973664
135926	DATJNI01 sp035508275	GCA_035508275.1	2771375
135927	DATKGL01 sp035510455	GCA_035510455.1	2973664
135928	DATKGL01 sp035510795	GCA_035510795.1	2052139
135929	DATKGQ01 sp035510715	GCA_035510715.1	2973664
135930	DATKHC01 sp035510465	GCA_035510465.1	2973664
135931	DATKHF01 sp035510355	GCA_035510355.1	2973664
135932	DATKRL01 sp035532255	GCA_035532255.1	2052315
135933	DATLCF01 sp035526505	GCA_035526505.1	1969813
135934	DATLRC01 sp035478435	GCA_035478435.1	2973664
135935	DATLRC01 sp035534895	GCA_035534895.1	2052315
135936	DATNAB01 sp035573115	GCA_035573115.1	2499141
135937	JACMPA01 sp013289705	GCA_013289705.1	2026720
135938	JACMPA01 sp014377695	GCA_014377695.1	2026720
135939	JACMPA01 sp035564115	GCA_035564115.1	3069365
135940	JACMPA01 sp038234505	GCA_038234505.1	2973664
135941	JAGQNO01 sp020428025	GCA_020428025.1	2026720
135942	JAGQNO01 sp028286405	GCA_028286405.1	2026720
135943	JAGQNT01 sp020427965	GCA_020427965.1	2026720
135944	JAGXIT01 sp002746885	GCA_002746885.1	2026720
135945	JAGXIT01 sp016699935	GCA_016699935.1	2026720
135946	JAGXIT01 sp016699955	GCA_016699955.1	2026720
135947	JAGXIT01 sp016700375	GCA_016700375.1	2026720
135948	JAGXIT01 sp016789655	GCA_016789655.1	2026720
135949	JAGXIT01 sp018062785	GCA_018062785.1	2026720
135950	JAGXIT01 sp020427985	GCA_020427985.1	2026720
135951	JAGXIT01 sp024635495	GCA_024635495.1	2026720
135952	JAGXIT01 sp027450065	GCA_027450065.1	2026720
135953	JAGXIT01 sp029549845	GCA_029549845.1	1869227
135954	JAGXIT01 sp036782475	GCA_036782475.1	2026720
135955	JAICLK01 sp025927415	GCA_025927415.1	2026720
135956	JAICLK01 sp035478715	GCA_035478715.1	2973664
135957	JAICLK01 sp036489905	GCA_036489905.1	2973664
135958	JAJXTN01 sp021783725	GCA_021783725.1	1869227
135959	JAJXTN01 sp038230895	GCA_038230895.1	2973664
135960	JAJXTN01 sp038237095	GCA_038237095.1	2973664
135961	JAJXXC01 sp021781215	GCA_021781215.1	1869227
135962	JAJXXC01 sp035510315	GCA_035510315.1	2890869
135964	JAJZAF01 sp021799595	GCA_021799595.1	1869227
135965	JAJZAF01 sp027314885	GCA_027314885.1	2026720
135966	JAJZCD01 sp021851735	GCA_021851735.1	1869227
135967	JAJZCD01 sp025927655	GCA_025927655.1	2026720
135968	JAJZCD01 sp025928155	GCA_025928155.1	2026720
135969	JAJZCD01 sp035479335	GCA_035479335.1	2890869
135970	JAJZCD01 sp035479475	GCA_035479475.1	2973664
135971	JAJZCD01 sp035479715	GCA_035479715.1	2973664
135972	JAJZCD01 sp035480095	GCA_035480095.1	2973664
135973	JAJZCD01 sp037200465	GCA_037200465.1	2026720
135974	JAJZCD01 sp038207115	GCA_038207115.1	2973664
135975	JAJZHX01 sp021804315	GCA_021804315.1	1869227
135976	JAJZKE01 sp021809645	GCA_021809645.1	1869227
135977	JAJZKE01 sp027314795	GCA_027314795.1	2026720
135978	JAJZKE01 sp037200105	GCA_037200105.1	2026720
135979	JAJZMH01 sp021806285	GCA_021806285.1	1869227
135980	JAJZMH01 sp021810025	GCA_021810025.1	1869227
135981	JAJZMH01 sp021846445	GCA_021846445.1	1869227
135982	JAJZMH01 sp021850365	GCA_021850365.1	1869227
135983	JAJZMH01 sp027371845	GCA_027371845.1	2026720
135984	JAJZNU01 sp021811625	GCA_021811625.1	1869227
135985	JAJZNU01 sp027371825	GCA_027371825.1	2026720
135986	JAJZWG01 sp021781915	GCA_021781915.1	1869227
135987	JAJZWG01 sp021803105	GCA_021803105.1	1869227
135988	JAJZWG01 sp021833065	GCA_021833065.1	1869227
135989	JAJZWG01 sp021841155	GCA_021841155.1	1869227
135990	JAJZWG01 sp021846095	GCA_021846095.1	1869227
135991	JAJZWG01 sp021846795	GCA_021846795.1	1869227
135992	JAJZWG01 sp027356105	GCA_027356105.1	2026720
135993	JAJZWG01 sp027448765	GCA_027448765.1	1869227
135994	JAJZWH01 sp021777375	GCA_021777375.1	1869227
135995	JAJZWH01 sp021788675	GCA_021788675.1	1869227
135996	JAJZWH01 sp021789195	GCA_021789195.1	1869227
135997	JAJZWH01 sp021790005	GCA_021790005.1	1869227
135998	JAJZWH01 sp021790875	GCA_021790875.1	1869227
135999	JAJZWH01 sp021799575	GCA_021799575.1	1869227
136000	JAJZWH01 sp021800155	GCA_021800155.1	1869227
136001	JAJZWH01 sp021804085	GCA_021804085.1	1869227
136002	JAJZWH01 sp021811685	GCA_021811685.1	1869227
136003	JAJZWH01 sp021829145	GCA_021829145.1	1869227
136004	JAJZWH01 sp021846765	GCA_021846765.1	1869227
136005	JAJZWH01 sp021848145	GCA_021848145.1	1869227
136006	JAJZWH01 sp021850865	GCA_021850865.1	1869227
136007	JAJZWH01 sp027325485	GCA_027325485.1	2026720
136008	JAJZWH01 sp027340655	GCA_027340655.1	2026720
136009	JAJZWH01 sp027345405	GCA_027345405.1	2026720
136010	JAJZWH01 sp027357065	GCA_027357065.1	2026720
136011	JAJZWH01 sp027365445	GCA_027365445.1	2026720
136012	JAJZWH01 sp027365775	GCA_027365775.1	2026720
136013	JALQUD01 sp023268595	GCA_023268595.1	2890869
136014	JALQUD01 sp041742875	GCA_041742875.1	2973664
136015	JANWHZ01 sp025450135	GCA_025450135.1	2973664
136016	JANWHZ01 sp035545555	GCA_035545555.1	2973664
136017	JANWHZ01 sp035758575	GCA_035758575.1	2973664
136018	JANWHZ01 sp041487535	GCA_041487535.1	2890869
136019	JAQBRT01 sp028286345	GCA_028286345.1	2026720
136020	JAQGGZ01 sp028289125	GCA_028289125.1	2026720
136021	JAQGHB01 sp028289045	GCA_028289045.1	2026720
136022	JAQGHB01 sp036384495	GCA_036384495.1	2973664
136023	JARIHC01 sp029288485	GCA_029288485.1	2026720
136024	JARIHC01 sp035546815	GCA_035546815.1	2973664
136025	JARIHC01 sp035546975	GCA_035546975.1	2973664
136026	JARIHC01 sp035547815	GCA_035547815.1	2973664
136027	JARIHC01 sp035692985	GCA_035692985.1	2973664
136028	JARIHD01 sp029288425	GCA_029288425.1	2026720
136029	JARIHD01 sp035629475	GCA_035629475.1	2973664
136030	JARIHD01 sp035758825	GCA_035758825.1	2973664
136031	JARIHD01 sp036392795	GCA_036392795.1	2973664
136032	JARIHD01 sp036526215	GCA_036526215.1	2973664
136033	JARIHD01 sp041743655	GCA_041743655.1	2973664
136034	JARIHJ01 sp029288335	GCA_029288335.1	2026720
136035	JARXKL01 sp030272735	GCA_030272735.1	2052139
136036	JBAZNN01 sp041649215	GCA_041649215.1	2973664
136037	JBBPZG01 sp038199095	GCA_038199095.1	2973664
136038	JBBRXZ01 sp038232415	GCA_038232415.1	2973664
136039	JBBRXZ01 sp038238095	GCA_038238095.1	2973664
136040	JBBSEN01 sp038239685	GCA_038239685.1	2973664
136041	JBBTTE01 sp038054405	GCA_964357905.1	179883
136042	JBBTTE01 sp038064375	GCA_038064375.1	2052139
136043	JBBTTE01 sp038064395	GCA_038064395.1	2052139
136044	JBDHUJ01 sp039809105	GCA_039809105.1	2973664
136045	JBDSWU01 sp038230395	GCA_038230395.1	2973664
136046	JBDSWU01 sp039926445	GCA_039926445.1	2973664
136047	JBDTES01 sp039922435	GCA_039922435.1	2973664
136048	PKXF01 sp003133385	GCA_003133385.1	2026720
136049	PLYP01 sp003153395	GCA_003153395.1	2026720
136050	PMNU01 sp002952755	GCA_002952755.1	2056494
136051	PMNU01 sp023434325	GCA_023434325.1	2762014
136052	PMNU01 sp029288515	GCA_029288515.1	2026720
136053	PMNU01 sp035248005	GCA_035248005.1	2973664
136054	PMNU01 sp035278105	GCA_035278105.1	2973664
136055	PMNU01 sp035309745	GCA_035309745.1	2973664
136056	PMNU01 sp035478295	GCA_035478295.1	1879010
136057	PMNU01 sp035479375	GCA_035479375.1	2973664
136058	PMNU01 sp035479615	GCA_035479615.1	2052139
136059	PMNU01 sp035479655	GCA_035479655.1	2973664
136060	PMNU01 sp035479875	GCA_035479875.1	2052139
136061	PMNU01 sp035479955	GCA_035479955.1	2973664
136062	PMNU01 sp035480575	GCA_035480575.1	2973664
136063	PMNU01 sp035491975	GCA_035491975.1	3069557
136065	PMNU01 sp035996265	GCA_035996265.1	2973664
136066	PMNU01 sp036383395	GCA_036383395.1	2973664
136067	PMNU01 sp036524895	GCA_036524895.1	2973664
136068	PMNU01 sp937988795	GCA_937988795.1	179883
136069	RGVC01 sp010027485	GCA_010027485.1	1869227
136070	RGVC01 sp037134095	GCA_037134095.1	1869227
136071	RYN-405 sp028286385	GCA_028286385.1	2026720
136072	UBA4665 sp002413755	GCA_002413755.1	1953353
136073	UBA4665 sp002413835	GCA_002413835.1	1953351
136074	UBA4665 sp003516025	GCA_003516025.1	2026720
136075	UBA4665 sp028289265	GCA_028289265.1	2026720
136076	UBA4665 sp035459365	GCA_035459365.1	2952938
136077	UBA4665 sp036388415	GCA_036388415.1	2973664
136078	UBA4665 sp036388555	GCA_036388555.1	2973664
136079	UBA4665 sp039809165	GCA_039809165.1	2973664
136080	UBA4665 sp041743525	GCA_041743525.1	2973664
136081	UBA4729 sp002413865	GCA_002413865.1	1953350
136082	UBA4729 sp014377525	GCA_014377525.1	2026720
136083	UBA4729 sp014378615	GCA_014378615.1	2026720
136084	UBA4729 sp028286245	GCA_028286245.1	2026720
136085	UBA4729 sp028289245	GCA_028289245.1	2026720
136086	UBA4729 sp030271625	GCA_030271625.1	2052139
136087	UBA4729 sp038231175	GCA_038231175.1	2973664
136088	UBA4729 sp038236865	GCA_038236865.1	2973664
136089	UBA4729 sp039931245	GCA_039931245.1	2026720
136090	UBA5150 sp002413795	GCA_002413795.1	1953352
136091	UBA5150 sp002792275	GCA_002792275.1	1974866
136092	UBA6224 sp002441585	GCA_002441585.1	1953366
136093	CALFQW01 sp937919305	GCA_937919305.1	179883
136094	DASVSL01 sp036388095	GCA_036388095.1	2973664
136096	JAPUDQ01 sp027493025	GCA_027493025.1	2026720
136097	JAPUDS01 sp027492975	GCA_027492975.1	2026720
136098	JAPUDS01 sp039812985	GCA_039812985.1	2830836
136102	UBA5946 sp002434045	GCA_002434045.1	1953369
136104	UBA6022 sp002404195	GCA_002404195.1	1953348
